Column1;word;lema;animacy;gender;finale;n_syll;preposition;context
119;бугре;бугор;inan;masc;р;2;на;Был построен . На этом бугре
120;месяце;месяц;inan;masc;ц;2;в;Это в мае месяце . Гуляли , да
121;медпункте;медпункт;inan;masc;т;2;в;А эта в этой - в медпункте работала
122;телефоне;телефон;inan;masc;н;3;на;Да , понимает , у нее вот дочь с Липица на это , на телефоне звонит , и она , ей там , называет
123;поле;поле;inan;neut;л';1;в;В поле , в земле
124;поле;поле;inan;neut;л';1;в;всё там в поле
125;детстве;детство;inan;neut;в;1;в;В детстве , о , вкусная , ты что , благодать так
126;городе;город;inan;masc;д;2;в;Вот так , это было в деревне так , а в городе там конечно соответственно
127;тракторе;трактор;inan;masc;р;2;на;И он на тракторе , муж , это вот мы когда сидели на лавочке , на это , на порожке
128;порожке;порожек;inan;masc;к;3;на;И он на тракторе , муж , это вот мы когда сидели на лавочке , на это , на порожке
129;райкоме;райком;inan;masc;м;2;в;У нее сын в этом , там в райкоме работает
130;бугре;бугор;inan;masc;р;2;на;У нас на бугре Малинино , а там в этой , в лощине , отсюда ее не увидишь
131;тракторе;трактор;inan;masc;р;2;на;Вот на тракторе - то это , это ж я считаю молодёжь
132;Мечке;мечек;inan;masc;к;1;на;Большой , на Большом Мечке осталось восемь дворов
133;транспорте;транспорт;inan;masc;т;2;на;Всё ж таки это не у всех транспорт , это на транспорте ездить
134;автобусе;автобус;inan;masc;с;3;на;Да ездит у нас на автобусе , одна тут
135;июне;июнь;inan;masc;н';2;в;Да . . . Ну сейчас уже да - июль , уже август вот он . А если в июне вот , начало июля - их там , оводов этих , нечисть эта . .
136;кране;кран;inan;masc;н;1;в;Там нету , в этом , в кране , одна холодная , а тут . .
137;Вербилове;вербилово;inan;neut;в;3;в;И девять дней . . . там церковь в Вербилове , она говорит , поеду туда к этой , к снохе . .
138;сентябре;сентябрь;inan;masc;р';2;в;Получила пенсию , а поздно , осенью - то , уж в сентябре - то , день - то меньше
139;диване;диван;inan;masc;н;2;на;Вот тут я , там вон у меня какой - то диван , я на диване ( лежу )
140;доме;дом;inan;masc;м;1;в;в Дмитряшевке был , в Дмитряшевке , эвакуированные у нас были , в каждом доме эвакуированные . Были в войну
141;дворе;двор;inan;masc;р;1;на;Три человека убили , да на дворе две коровы , тоже во двор попало , и может как осколочное , наверно
142;Ельце;елец;inan;masc;ц;2;в;А вот в Ельце , это вон Елец Липецкой области он тоже город , это был он уже в городе
143;городе;город;inan;masc;д;2;в;А вот в Ельце , это вон Елец Липецкой области он тоже город , это был он уже в городе
144;селе;село;inan;neut;л;1;в;Тут , в селе - то
145;базаре;базар;inan;masc;р;2;на;Да тут и в Хлевном на базаре тоже много
146;стуле;стул;inan;masc;л;1;на;Маруся эта на этом Гавриловна , на стуле
147;мешке;мешок;inan;masc;к;2;в;Да . Сколько в мешке
148;асфальте;асфальт;inan;masc;т;2;на;Ну они что же - тут торгуют ? Они на центральном . На центральной дороге , на асфальте - там торгуют - то . А тут - то . .
149;поле;поле;inan;neut;л';1;в;а второй вон там в поле
150;поле;поле;inan;neut;л';1;в;И этот вот какой в поле , ее обманул
152;порядке;порядок;inan;masc;к;3;на;Тут видишь , и дрова , и сено , всё близко , и вода , а там воды на одиннадцатом порядке , не хватает воды
153;Выгоне;выгон;inan;masc;н;2;на;И у . . . у жениховой сестры , у жениха там есть сестра , он там живет на Выгоне , а живет в Липице , и звать Нюрка
154;диване;диван;inan;masc;н;2;на;А ну и вот они : сами на диване сидят , и они около дивана , уж ходить начали
155;наряде;наряд;inan;masc;д;2;в;И в старом наряде пошли домой , в лохмотьях
156;конце;конец;inan;masc;ц;2;в;Вот в конце вот этих домов , огородом , и там в конце
157;конце;конец;inan;masc;ц;2;в;Вот в конце вот этих домов , огородом , и там в конце
158;ведре;ведро;inan;neut;р;1;в;А это вар - он просто один бывает , в ведре , растопят его
159;месте;место;inan;neut;т;1;на;Эти на этом ровном месте вот такие , это
160;городе;город;inan;masc;д;2;в;Там вот сейчас дом купить - как в городе
161;пороге;порог;inan;masc;г;2;на;Она вон , на пороге какие сидели , ей восемьдесят три года
